DEFENDid,Defense,Definition,Analyzes,Neutralizes,Verifies,Obfuscates,Filters,Encrypts,Blocks,Authenticates,Terminates,Isolates,Spoofs,Disables,Modifies
D3-DA,Dynamic Analysis,"Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.","['DocumentFile', 'ExecutableFile']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PCA,Passive Certificate Analysis,Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.,['CertificateFile'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SAOR,Segment Address Offset Randomization,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.,NA,NA,NA,['ProcessSegment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SBV,Service Binary Verification,Analyzing changes in service binary files by comparing to a source of truth.,['OperatingSystemFile'],NA,['ServiceApplication'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-ACA,Active Certificate Analysis,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.,['CertificateFile'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-FV,Firmware Verification,Using embedded trust identification markers to identify legitimate firmware and hardware configurations.,NA,NA,['Firmware'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-OSM,Operating System Monitoring,"The operating system software, for D3FEND’s purposes, includes the kernel and its process management functions, hardware drivers, initialization or boot logic. It also includes and other key system daemons and their configuration. The monitoring or analysis of these components for unauthorized activity constitute **Operating System Monitoring**.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-FBA,Firmware Behavior Analysis,Analyzing the behavior of embedded code in firmware and looking for anomalous behavior and suspicious activity.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PSA,Process Spawn Analysis,Analyzing spawn arguments or attributes of a process to detect processes that are unauthorized.,['Process'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-HDDL,Hierarchical Domain Denylisting,Blocking the resolution of any subdomain of a specified domain name.,NA,NA,NA,NA,NA,NA,"['OutboundInternetDNSLookupTraffic', 'DNSNetworkTraffic']",NA,NA,NA,NA,NA,NA
D3-TAAN,Transfer Agent Authentication,Validating that server components of a messaging infrastructure are authorized to send a particular message.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-CAA,Connection Attempt Analysis,Detecting network reconnaissance scans in a computer network environment.,['IntranetNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-EDL,Executable Denylisting,Blocking the execution of files on a host in accordance with defined application policy rules.,NA,NA,NA,NA,NA,NA,['ExecutableFile'],NA,NA,NA,NA,NA,NA
D3-DNSDL,DNS Denylisting,"Blocking DNS Network Traffic based on criteria such as IP address, domain name, or DNS query type.",NA,NA,NA,NA,NA,NA,['DNSNetworkTraffic'],NA,NA,NA,NA,NA,NA
D3-CH,Credential Hardening,Credential Hardening techniques modify system or network properties in order to protect system or network/domain credentials.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-HD,Homoglyph Detection,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.,"['URL', 'Email']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-OTF,Outbound Traffic Filtering,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.,NA,NA,NA,NA,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA
D3-MENCR,Message Encryption,Encrypting a message body using a cryptographic key.,NA,NA,NA,NA,NA,['UserToUserMessage'],NA,NA,NA,NA,NA,NA,NA
D3-RTSD,Remote Terminal Session Detection,Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SRA,Sender Reputation Analysis,Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).,['Email'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-MAC,Mandatory Access Control,Controlling access to local computer system resources with kernel-level capabilities.,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Process'],NA,NA,NA
D3-AH,Application Hardening,Application Hardening makes an executable application more resilient to a class of exploits which either introduce new code or execute unwanted existing code. These techniques may be applied at compile-time or on an application binary.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-FAPA,File Access Pattern Analysis,Analyzing the files accessed by a process to identify unauthorized activity.,['LocalResourceAccess'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-ANCI,Authentication Cache Invalidation,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Credential'],NA
D3-DENCR,Disk Encryption,Encrypting a hard disk partition to prevent cleartext access to a file system.,NA,NA,NA,NA,NA,['Storage'],NA,NA,NA,NA,NA,NA,NA
D3-DLIC,Driver Load Integrity Checking,Ensuring the integrity of drivers loaded during initialization of the operating system.,NA,NA,NA,NA,NA,NA,NA,['HardwareDriver'],NA,NA,NA,NA,NA
D3-NI,Network Isolation,Network Isolation techniques prevent network hosts from accessing non-essential system network resources.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SSC,Shadow Stack Comparisons,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.,['StackFrame'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SFA,System File Analysis,"Monitoring system files such as authentication databases, registry keys, system logs, and system executables, for modification or tampering.",['OperatingSystemFile'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-MBT,Memory Boundary Tracking,Analyzing a call stack for return addresses which point to unexpected  memory locations.,['ProcessCodeSegment'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-MH,Message Hardening,Email or Messaging Hardening includes measures taken to ensure the confidentiality and integrity of user to user computer messages.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-IBCA,Indirect Branch Call Analysis,Analyzing vendor specific branch call recording in order to detect ROP style attacks.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PE,Process Eviction,Process eviction techniques terminate or remove running process.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-UA,URL Analysis,Determining if a URL is benign or malicious by analyzing the URL or its components.,['URL'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-MAN,Message Authentication,Authenticating the sender of a message and ensuring message integrity.,NA,NA,NA,NA,NA,NA,NA,['UserToUserMessage'],NA,NA,NA,NA,NA
D3-PHDURA,Per Host Download-Upload Ratio Analysis,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SDA,Session Duration Analysis,Analyzing the duration of user sessions in order to detect unauthorized  activity.,"['Authentication', 'Authorization']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SMRA,Sender MTA Reputation Analysis,Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.,['Email'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PA,Process Analysis,"Process Analysis consists of observing a running application process and analyzing it to watch for certain behaviors or conditions which may indicate adversary activity. Analysis can occur inside of the process or through a third-party monitoring application. Examples include monitoring system and privileged calls, monitoring process initiation chains, and memory boundary allocations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-DNSAL,DNS Allowlisting,Permitting only approved domains and their subdomains to be resolved.,NA,NA,NA,NA,NA,NA,['OutboundInternetDNSLookupTraffic'],NA,NA,NA,NA,NA,NA
D3-BA,Bootloader Authentication,Cryptographically authenticating the bootloader software before system boot.,NA,NA,NA,NA,NA,NA,NA,['BootLoader'],NA,NA,NA,NA,NA
D3-ET,Encrypted Tunnels,Encrypted encapsulation of routable network traffic.,NA,NA,NA,NA,NA,NA,NA,NA,NA,['IntranetNetwork'],NA,NA,NA
D3-DPR,Decoy Public Release,Issuing publicly released media to deceive adversaries.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-OTP,One-time Password,A one-time password is valid for only one user authentication.,NA,NA,NA,NA,NA,NA,NA,['UserAccount'],NA,NA,NA,NA,NA
D3-FRDDL,Forward Resolution Domain Denylisting,Blocking a lookup based on the query’s domain name value.,NA,NA,NA,NA,NA,NA,"['OutboundInternetDNSLookupTraffic', 'DNSNetworkTraffic']",NA,NA,NA,NA,NA,NA
D3-DE,Decoy Environment,A Decoy Environment comprises hosts and networks for the purposes of deceiving an attacker.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-RRID,Reverse Resolution IP Denylisting,Blocking a reverse lookup based on the query’s IP address value.,NA,NA,NA,NA,NA,NA,"['OutboundInternetDNSLookupTraffic', 'DNSNetworkTraffic']",NA,NA,NA,NA,NA,NA
D3-NTA,Network Traffic Analysis,Analyzing intercepted or summarized computer network traffic to detect unauthorized activity.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SPP,Strong Password Policy,Modifying system configuration to increase password strength.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-CSPP,Client-server Payload Profiling,Comparing client-server request and response payloads to a baseline profile to identify outliers.,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-DST,Decoy Session Token,An authentication token created for the purposes of deceiving an adversary.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['AccessToken'],NA,NA
D3-FRIDL,Forward Resolution IP Denylisting,Blocking a DNS lookup's answer's IP address value.,NA,NA,NA,NA,NA,NA,"['InboundInternetDNSResponseTraffic', 'DNSNetworkTraffic']",NA,NA,NA,NA,NA,NA
D3-FA,File Analysis,"File Analysis is an analytic process to determine a file's status. For example: virus, trojan, benign, malicious, trusted, unauthorized, sensitive, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-EAL,Executable Allowlisting,Using a digital signature to authenticate a file before opening.,NA,NA,['ExecutableBinary'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-EFA,Emulated File Analysis,Emulating instructions in a file looking for specific patterns.,"['ExecutableFile', 'DocumentFile']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-WSAA,Web Session Activity Analysis,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.,['WebResourceAccess'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-RPA,Relay Pattern Analysis,The detection of an internal host relaying traffic between the internal network and the external network.,['OutboundInternetNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-RTA,RPC Traffic Analysis,Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.,['RPCNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-DNSTA,DNS Traffic Analysis,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host.",['OutboundInternetDNSLookupTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-MA,Message Analysis,Analyzing email or instant message content to detect unauthorized activity.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
